word,hindi
you,आप
I,मैं
to,को
the,
A,ए
and,और
that,वह
it,यह
of,का
me,मुझे
what,क्या
is,है
in,में
this,यह
know,जानना
I'm,मैं हूँ
for,के लिए
no,नहीं
have,पास होना
my,मेरा
don't,नहीं
just,अभी
not,नहीं
do,करना
be,होना
on,पर
your,आपका
was,था
we,हम
it's,इसका
with,साथ
so,इसलिए
but,लेकिन
all,सभी
well,कुंआ
are,हैं
he,वह
oh,ओह
about,के बारे में
right,सही
you're,आप कर रहे हैं
get,पाना
here,यहाँ
out,बाहर
going,जा रहा है
like,पसंद
yeah,हाँ
if,अगर
her,उसकी
she,वह
can,कर सकना
up,ऊपर
want,चाहना
think,सोचना
that's,वह है
now,अब
go,जाना
him,उसे
at,पर
how,कैसे
got,प्राप्त
there,वहाँ
one,एक
did,किया
why,क्यों
see,देखना
come,आना
good,अच्छा
they,वे
really,वास्तव में
as,जैसा
would,चाहेंगे
look,देखना
when,कब
time,समय
will,इच्छा
okay,ठीक है
back,पीछे
can't,नहीं कर सकता
mean,अर्थ
tell,कहना
I'll,बीमार
from,से
hey,अरे
were,थे
he's,वह है
could,सकना
didn't,नहीं था
yes,हाँ
his,उसका
been,गया
or,या
something,कुछ
who,कौन
because,क्योंकि
some,कुछ
had,था
then,तब
say,कहना
ok,ठीक है
take,लेना
an,एक
way,रास्ता
us,हम
little,थोड़ा
make,बनाना
need,ज़रूरत
gonna,होने वाला
never,कभी नहीं
we're,थे
too,बहुत
love,प्यार
she's,वह है
I've,मैंने
sure,ज़रूर
them,उन्हें
more,अधिक
over,ऊपर
our,हमारा
sorry,क्षमा मांगना
where,कहाँ
what's,क्या है
let,होने देना
thing,चीज़
am,पूर्वाह्न
maybe,शायद
down,नीचे
man,आदमी
has,है
uh,उह
very,बहुत
by,द्वारा
there's,वहाँ है
should,चाहिए
anything,कुछ भी
said,कहा
much,अधिकता
any,कोई
life,ज़िंदगी
even,यहां तक ​​की
off,बंद
please,कृपया
doing,कर रहा है
thank,धन्यवाद
give,देना
only,केवल
thought,सोचा
help,मदद
two,दो
talk,बात करना
people,लोग
god,ईश्वर
still,फिर भी
wait,इंतज़ार
into,में
find,खोजो
nothing,कुछ नहीं
again,दोबारा
things,चीज़ें
let's,के जाने
doesn't,नहीं है
call,पुकारना
told,बताया
great,महान
before,पहले
better,बेहतर
ever,कभी
night,रात
than,बजाय
away,दूर
first,पहला
believe,विश्वास
other,अन्य
feel,अनुभव करना
everything,सब कुछ
work,काम
you've,आपने
fine,अच्छा
home,घर
after,बाद
last,अंतिम
these,इन
day,दिन
keep,रखना
does,करता है
put,रखना
around,आस-पास
stop,रुकना
they're,वे
I'd,पहचान
guy,लड़का
long,लंबा
isn't,नहीं है
always,हमेशा
listen,सुनना
wanted,वांछित
Mr .,श्री ।
guys,दोस्तो
huh,हुह
those,वे
big,बड़ा
lot,बहुत
happened,घटित
thanks,धन्यवाद
won't,नहीं होगा
trying,कोशिश कर रहे हैं
kind,दयालु
wrong,गलत
through,के माध्यम से
talking,बात कर रहे
made,बनाया
new,नया
being,प्राणी
guess,अनुमान
hi,नमस्ते
care,देखभाल
bad,खराब
mom,माँ
remember,याद करना
getting,उपार्जन
we'll,कुंआ
together,एक साथ
dad,पापा
leave,छुट्टी
mother,माँ
place,जगह
understand,समझना
wouldn't,नहीं
actually,वास्तव में
hear,सुनो
baby,बच्चा
nice,अच्छा
father,पिता
else,अन्य
stay,रहना
done,हो गया
wasn't,नहीं था
their,उनका
course,अवधि
might,हो सकता है
mind,दिमाग
every,प्रत्येक
enough,पर्याप्त
try,कोशिश
hell,नरक
came,आया
someone,कोई
you'll,आप
own,अपना
family,परिवार
whole,साबुत
another,एक और
house or House,घर या घर
Jack or jack,जैक या जैक
yourself,अपने आप को
idea,विचार
ask,पूछना
best,श्रेष्ठ
must,अवश्य
coming,आ रहा
old,पुराना
looking,देखना
woman,महिला
hello,नमस्ते
which,कौन
years,साल
room,कमरा
money,धन
left,बाएं
knew,जानता था
tonight,आज रात
real,असली
son,बेटा
hope,आशा
name,नाम
same,वही
went,गया
um,उम
hmm,हम्म
happy,खुश
pretty,सुंदर
saw,देखा
girl,लड़की
sir,महोदय
show,दिखाओ
friend,दोस्त
already,पहले से
saying,कह रहा
may or May,हो सकता है या हो सकता है
next,अगला
three,तीन
job,काम
problem,संकट
minute,मिनट
found,मिला
world,दुनिया
thinking,सोच
haven't,नहीं है
heard,सुना
honey,शहद
matter,मामला
myself,खुद
couldn't,नहीं कर सका
exactly,बिल्कुल
having,होना
ah,एएच
probably,शायद
happen,होना
we've,हमने
hurt,आहत
boy,लड़का
both,दोनों
while,जबकि
dead,मृत
gotta,पड़ेगा
alone,अकेला
since,तब से
excuse,क्षमा
start,शुरू
kill,मारना
hard,मुश्किल
you'd,आप चाहते
today,आज
car,कार
ready,तैयार
until,जब तक
without,बिना
whatever,जो कुछ भी
wants,चाहता हे
hold,पकड़ना
wanna,चाहना
yet,अभी तक
seen,देखा
deal,सौदा
took,लिया
once,एक बार
gone,गया
called,बुलाया
morning,सुबह
supposed,कल्पित
friends,दोस्त
head,सिर
stuff,सामग्री
most,अधिकांश
used,इस्तेमाल किया गया
worry,चिंता
second,दूसरा
part,भाग
live,रहना
truth,सच
school,विद्यालय
face,चेहरा
forget,भूल जाओ
TRUE,सत्य
business,व्यापार
each,प्रत्येक
cause,कारण
soon,जल्द ही
knows,जानता है
few,कुछ
telling,कह
wife,पत्नी
who's,कौन है
use,उपयोग
chance,मौका
run,दौड़ना
move,कदम
anyone,कोई भी
person,व्यक्ति
bye,अलविदा
J .,जे ।
somebody,कोई व्यक्ति
Dr . or dr .,डॉ । या डॉ।
heart,दिल
such,ऐसा
miss,याद
married,विवाहित
point,बिंदु
later,बाद में
making,निर्माण
meet,मिलो
anyway,फिर भी
many,अनेक
phone,फ़ोन
reason,कारण
damn,लानत है
lost,खो गया
looks,दिखता है
bring,लाना
case,मामला
turn,मोड़
wish,इच्छा
tomorrow,कल
kids,बच्चे
trust,विश्वास
check,जाँच करना
change,परिवर्तन
end,अंत
late,देर
anymore,अब और
five,पाँच
least,कम से कम
town,शहर
aren't,नहीं कर रहे हैं
ha,हा
working,कार्यरत
year,वर्ष
makes,बनाता है
taking,ले रहा
means,मतलब
brother,भाई
play,खेल
hate,घृणा
ago,पहले
says,कहते हैं
beautiful,सुंदर
gave,दिया
fact,तथ्य
crazy,पागल
party,दल
sit,बैठना
open,खुला
afraid,डरना
between,बीच में
important,महत्वपूर्ण
rest,आराम
fun,मज़ा
kid,बच्चा
word,शब्द
watch,घड़ी
glad,खुश
everyone,सब लोग
days,दिन
sister,बहन
minutes,मिनट
everybody,हर कोई
bit,अंश
couple,युगल
whoa,रुको
either,दोनों में से एक
Mrs .,श्रीमती ।
feeling,अनुभूति
daughter,बेटी
wow,बहुत खूब
gets,जाता
asked,पूछा
under,अंतर्गत
break,तोड़ना
promise,वादा
door,दरवाजा
set,तय करना
close,बंद करना
hand,हाथ
easy,आसान
question,सवाल
doctor,चिकित्सक
tried,कोशिश की
far,दूर
walk,टहलना
needs,आवश्यकताओं
trouble,मुश्किल
mine,मेरा
though,यद्यपि
times,टाइम्स
different,अलग
killed,मारे गए
hospital,अस्पताल
anybody,कोई
Sam or SAM,सैम या सैम
alright,ठीक
wedding,शादी
shut,बंद
able,योग्य
die,मरना
perfect,उत्तम
police,पुलिस
stand,खड़ा होना
comes,आता है
hit,मार
story,कहानी
ya,फिर
mm,मिमी
waiting,इंतज़ार में
dinner,रात का खाना
against,ख़िलाफ़
funny,मज़ेदार
husband,पति
almost,लगभग
stupid,मूर्ख
pay,वेतन
answer,उत्तर
four,चार
office,कार्यालय
cool,ठंडा
eyes,आँखें
news,समाचार
child,बच्चा
shouldn't,नहीं करना चाहिए
half,आधा
side,ओर
yours,आपका अपना
moment,पल
sleep,नींद
read,पढ़ना
where's,कहाँ है
started,शुरू कर दिया
young,युवा
men,पुरुषों
sounds,आवाज़
sonny or Sonny,सन्नी या सन्नी
lucky,भाग्यशाली
pick,चुनना
sometimes,कभी-कभी
em,ईएम
bed,बिस्तर
also,भी
date,तारीख
line,रेखा
plan,योजना
hours,घंटे
lose,खोना
fire,आग
free,मुक्त
hands,हाथ
serious,गंभीर
Leo,लियो
shit,मल
behind,पीछे
inside,अंदर
high,उच्च
ahead,आगे
week,सप्ताह
wonderful,आश्चर्यजनक
T .,टी ।
fight,झगड़ा करना
past,अतीत
cut,काटना
quite,अत्यंत
number,संख्या
he'll,नरक
sick,बीमार
S .,एस ।
it'll,यह होगा
game,खेल
eat,खाओ
nobody,कोई नहीं
goes,जाता है
death,मौत
along,साथ में
save,बचाना
seems,प्रतीत
finally,अंत में
lives,ज़िंदगियाँ
worried,चिंतित
upset,परेशान
Theresa,वहाँ है
Carly,कार्ली
Ethan,एतान
met,मिले
book,किताब
brought,लाया
seem,प्रतीत होना
sort,क्रम से लगाना
safe,सुरक्षित
living,जीविका
children,बच्चे
weren't,नहीं थे
leaving,छोड़कर
front,सामने
shot,गोली मारना
loved,प्यार किया
asking,की मांग कर रहा
running,दौड़ना
clear,स्पष्ट
figure,आकृति
hot,गर्म
felt,अनुभव किया
six,छह
parents,अभिभावक
drink,पीना
absolutely,बिल्कुल
how's,कैसे
daddy,पापा
sweet,मिठाई
alive,जीवित
Paul,पॉल
sense,समझ
meant,मतलब
happens,ह ाेती है
David,डेविड
special,विशेष
bet,बेट
blood,खून
ain't,नहीं है
kidding,मज़ाक कर रहा है
lie,झूठ
full,भरा हुआ
meeting,बैठक
dear,प्रिय
coffee,कॉफी
seeing,देख के
sound,आवाज़
fault,गलती
water,पानी
fuck,लानत है
ten,दस
women,औरत
John or john,जॉन या जॉन
welcome,स्वागत
buy,खरीदना
months,महीने
hour,घंटा
speak,बोलना
lady,महिला
Jen,जेन
thinks,सोचते
Christmas,क्रिसमस
body,शरीर
order,आदेश
outside,बाहर
hang,लटकाना
possible,संभव
worse,ज़्यादा बुरा
company,कंपनी
mistake,गलती
ooh,उह
handle,सँभालना
spend,खर्च करना
C .,सी ।
totally,पूरी तरह से
giving,दे रही है
control,नियंत्रण
here's,यहाँ है
marriage,शादी
realize,समझना
D .,डी ।
power,शक्ति
president,अध्यक्ष
unless,जब तक
sex,लिंग
girls,लड़कियाँ
send,भेजना
needed,आवश्यकता है
O . or o,ओ। या ओ
taken,लिया
died,मृत
scared,डरा हुआ
picture,चित्र
talked,बातचीत की
Jake,जेक
Al,एएल
ass,गधा
hundred,सौ
changed,बदला हुआ
completely,पूरी तरह
explain,व्याख्या करना
playing,खेलना
certainly,निश्चित रूप से
sign,संकेत
boys,लड़के
relationship,संबंध
Michael,माइकल
loves,प्यार
fucking,कमबख्त
hair,बाल
lying,झूठ बोलना
choice,पसंद
anywhere,कहीं भी
secret,गुप्त
future,भविष्य
weird,अजीब
luck,भाग्य
she'll,शंख
Max or max .,अधिकतम या अधिकतम।
Luis,लुइस
turned,चालू
known,ज्ञात
touch,छूना
kiss,चुंबन
Crane or crane,क्रेन या क्रेन
questions,प्रशन
obviously,ज़ाहिर तौर से
wonder,आश्चर्य
pain,दर्द
calling,कॉलिंग
somewhere,कहीं
throw,फेंक
straight,सीधा
Grace or grace,अनुग्रह या अनुग्रह
cold,ठंडा
white or White,सफेद या सफेद
fast,तेज़
Natalie,नेटली
words,शब्द
R .,आर ।
food,खाना
none,कोई नहीं
drive,गाड़ी चलाना
feelings,भावना
they'll,वे हूँ
worked,काम
marry,शादी कर
light,रोशनी
test,परीक्षा
drop,बूँद
cannot,नही सकता
Frank,स्पष्टवादी
sent,भेजा
city,शहर
dream,सपना
protect,रक्षा करना
twenty,बीस
class,कक्षा
Lucy,लुसी
surprise,आश्चर्य
its,इसका
sweetheart,जानेमन
forever,हमेशा के लिए
poor,गरीब
looked,देखा
mad,पागल
except,के अलावा
gun,बंदूक
y'know,y 'know
dance,नृत्य
takes,लेता है
appreciate,प्रशंसा करना
especially,विशेष रूप से
situation,परिस्थिति
besides,अलावा
weeks,हफ्तों
pull,खींचो
himself,वह स्वयं
hasn't,नहीं है
act,कार्य
worth,लायक
Sheridan,शेरिडन
amazing,अद्भुत
top,शीर्ष
given,दिया गया
expect,अपेक्षा करना
Ben,बेन
rather,की अपेक्षा
Julian,जूलियन
involved,शामिल
swear,कसम खाना
piece,टुकड़ा
busy,व्यस्त
law,कानून
